atr_mult,tp_mult,ema_fast,ema_slow,vol_mult,Return [%]
3.0,2.0,15,40,1.5,0.8314802692304692
3.0,2.0,15,40,2.0,-3.39022197450915
3.0,2.0,15,50,1.0,-4.850001744145048
3.0,2.0,15,50,1.5,-2.414039068886923
3.0,2.0,15,50,2.0,-3.694965980551624
3.0,2.0,15,60,1.0,-4.450374691707057
3.0,2.0,15,60,1.5,-4.693811225041008
3.0,2.0,15,60,2.0,-4.0682786172703524
3.0,3.0,5,40,1.0,-4.721627733895438
3.0,3.0,5,40,1.5,-0.823554449898802
3.0,3.0,5,40,2.0,-1.0106987133353322
3.0,3.0,5,50,1.0,-4.711692162192193
3.0,3.0,5,50,1.5,-0.8550259005300905
3.0,3.0,5,50,2.0,-1.049197460283576
3.0,3.0,5,60,1.0,-2.722653943285168
3.0,3.0,5,60,1.5,-0.7894641445486559
3.0,3.0,5,60,2.0,-1.012353275408077
3.0,3.0,10,40,1.0,-2.885913404388357
3.0,3.0,10,40,1.5,2.0592338131278485
3.0,3.0,10,40,2.0,-1.049197460283576
3.0,3.0,10,50,1.0,-1.6667033744811308
3.0,3.0,10,50,1.5,3.578696588679722
3.0,3.0,10,50,2.0,-0.7076092693656029
3.0,3.0,10,60,1.0,-3.456674701995817
3.0,3.0,10,60,1.5,3.3479916678946573
3.0,3.0,10,60,2.0,-1.012353275408077
3.0,3.0,15,40,1.0,-6.183266742488304
3.0,3.0,15,40,1.5,-1.7194557640293717
3.0,3.0,15,40,2.0,-0.7076092693656029
3.0,3.0,15,50,1.0,-8.152117249254442
3.0,3.0,15,50,1.5,-1.7435471029445033
3.0,3.0,15,50,2.0,-1.012353275408077
3.0,3.0,15,60,1.0,-7.990165263780782
3.0,3.0,15,60,1.5,-4.098962789502821
3.0,3.0,15,60,2.0,-1.5402099291120612
3.0,4.0,5,40,1.0,0.7760274767413284
3.0,4.0,5,40,1.5,3.4975441389247317
3.0,4.0,5,40,2.0,-3.1928765221296453
3.0,4.0,5,50,1.0,-0.8936253425379983
3.0,4.0,5,50,1.5,-0.2596110462080105
3.0,4.0,5,50,2.0,-2.8781167198835282
3.0,4.0,5,60,1.0,-4.901339472329291
3.0,4.0,5,60,1.5,-0.2596110462080105
3.0,4.0,5,60,2.0,-3.2383254111808126
3.0,4.0,10,40,1.0,-3.8803557119315517
3.0,4.0,10,40,1.5,-3.990150520673542
3.0,4.0,10,40,2.0,-2.8781167198835282
3.0,4.0,10,50,1.0,-4.85125710144046
3.0,4.0,10,50,1.5,0.1369217718287473
3.0,4.0,10,50,2.0,-2.98943788870678
3.0,4.0,10,60,1.0,-4.76031720212668
3.0,4.0,10,60,1.5,-0.08858164396016946
3.0,4.0,10,60,2.0,-3.2383254111808126
3.0,4.0,15,40,1.0,-3.9727736773246036
3.0,4.0,15,40,1.5,-3.6056476036290226
3.0,4.0,15,40,2.0,-2.98943788870678
3.0,4.0,15,50,1.0,-4.972862832925002
3.0,4.0,15,50,1.5,-3.567166323939782
3.0,4.0,15,50,2.0,-3.2383254111808126
3.0,4.0,15,60,1.0,-5.987649204951685
3.0,4.0,15,60,1.5,-2.630692176361099
3.0,4.0,15,60,2.0,-4.037747108568474
3.0,5.0,5,40,1.0,-1.7636108655438694
3.0,5.0,5,40,1.5,-2.820306568625274
3.0,5.0,5,40,2.0,-4.045865395115507
3.0,5.0,5,50,1.0,-2.1712218961442886
3.0,5.0,5,50,1.5,-3.3689702087619664
3.0,5.0,5,50,2.0,-4.045865395115507
3.0,5.0,5,60,1.0,-2.7212684759085093
3.0,5.0,5,60,1.5,-3.3689702087619664
3.0,5.0,5,60,2.0,-4.539904997493268
3.0,5.0,10,40,1.0,-2.6358301296778883
3.0,5.0,10,40,1.5,-4.254241627655028
3.0,5.0,10,40,2.0,-4.045865395115507
3.0,5.0,10,50,1.0,-2.652703497597795
3.0,5.0,10,50,1.5,-3.0246207260349363
3.0,5.0,10,50,2.0,-4.256928420453823
3.0,5.0,10,60,1.0,-4.566407983594618
3.0,5.0,10,60,1.5,-3.305921387459857
3.0,5.0,10,60,2.0,-4.539904997493268
3.0,5.0,15,40,1.0,-2.7282480950709393
3.0,5.0,15,40,1.5,-3.909046465170686
3.0,5.0,15,40,2.0,-4.256928420453823
3.0,5.0,15,50,1.0,-4.71530150898523
3.0,5.0,15,50,1.5,-3.590170618852881
3.0,5.0,15,50,2.0,-4.539904997493268
3.0,5.0,15,60,1.0,-5.682278881160146
3.0,5.0,15,60,1.5,-2.142556386064807
3.0,5.0,15,60,2.0,-5.46469883331305
3.0,6.0,5,40,1.0,4.892931171918572
3.0,6.0,5,40,1.5,-0.7450322652544491
3.0,6.0,5,40,2.0,-7.1366183024379835
3.0,6.0,5,50,1.0,4.08478661296298
3.0,6.0,5,50,1.5,-1.3583794340079112
3.0,6.0,5,50,2.0,-7.1366183024379835
3.0,6.0,5,60,1.0,4.08478661296298
3.0,6.0,5,60,1.5,-1.3583794340079112
3.0,6.0,5,60,2.0,-7.360814878365709
3.0,6.0,10,40,1.0,3.979855959908618
3.0,6.0,10,40,1.5,-2.44956809587753
3.0,6.0,10,40,2.0,-7.1366183024379835
3.0,6.0,10,50,1.0,3.979855959908618
3.0,6.0,10,50,1.5,-0.9966636753845524
3.0,6.0,10,50,2.0,-7.360814878365709
3.0,6.0,10,60,1.0,4.08478661296298
3.0,6.0,10,60,1.5,-1.204227395433718
3.0,6.0,10,60,2.0,-7.360814878365709
3.0,6.0,15,40,1.0,3.979855959908618
3.0,6.0,15,40,1.5,-2.098275028250573
3.0,6.0,15,40,2.0,-7.360814878365709
3.0,6.0,15,50,1.0,4.027419070848719
3.0,6.0,15,50,1.5,-1.494574531969356
3.0,6.0,15,50,2.0,-7.360814878365709
3.0,6.0,15,60,1.0,3.9860555002920774
3.0,6.0,15,60,1.5,-3.5254084329659596
3.0,6.0,15,60,2.0,-4.975617382943328
3.5,2.0,5,40,1.0,-3.0260980076598933
3.5,2.0,5,40,1.5,2.4950811132049604
3.5,2.0,5,40,2.0,-0.8390288333893113
3.5,2.0,5,50,1.0,-3.009727513122525
3.5,2.0,5,50,1.5,4.560036049118043
3.5,2.0,5,50,2.0,-1.0245175754547382
3.5,2.0,5,60,1.0,-2.1133485476683567
3.5,2.0,5,60,1.5,4.564643738327032
3.5,2.0,5,60,2.0,-1.0834885150909759
3.5,2.0,10,40,1.0,-2.7819319484710103
3.5,2.0,10,40,1.5,4.487168327865584
3.5,2.0,10,40,2.0,-1.0245175754547382
3.5,2.0,10,50,1.0,-2.166338173217682
3.5,2.0,10,50,1.5,5.195936958541878
3.5,2.0,10,50,2.0,-0.6539291069794126
3.5,2.0,10,60,1.0,-3.026078413085943
3.5,2.0,10,60,1.5,4.035132744522088
3.5,2.0,10,60,2.0,-1.0834885150909759
3.5,2.0,15,40,1.0,-0.4563816024016705
3.5,2.0,15,40,1.5,6.549800420532229
3.5,2.0,15,40,2.0,-0.6539291069794126
3.5,2.0,15,50,1.0,-5.4393603328705105
3.5,2.0,15,50,1.5,0.969122258758507
3.5,2.0,15,50,2.0,-1.0834885150909759
3.5,2.0,15,60,1.0,-4.893356357498178
3.5,2.0,15,60,1.5,0.30628322753904286
3.5,2.0,15,60,2.0,-1.4866805556487999
3.5,3.0,5,40,1.0,4.409780389480548
3.5,3.0,5,40,1.5,5.564835374145532
3.5,3.0,5,40,2.0,3.0134362958525887
3.5,3.0,5,50,1.0,6.9093088368224915
3.5,3.0,5,50,1.5,7.049955558700585
3.5,3.0,5,50,2.0,3.066118877181925
3.5,3.0,5,60,1.0,7.810273079910313
3.5,3.0,5,60,1.5,7.049955558700585
3.5,3.0,5,60,2.0,2.7392354653929942
3.5,3.0,10,40,1.0,-4.322958601379341
3.5,3.0,10,40,1.5,2.2696521087646215
