lookback,exit_lookback,atr_stop_mult,Sharpe Ratio
30,11,2.5,1.0512262614883785
30,11,3.0,1.0512262614883785
30,13,1.0,0.9649965082868218
30,13,1.5,0.9649965082868218
30,13,2.0,0.9649965082868218
30,13,2.5,0.9649965082868218
30,13,3.0,0.9649965082868218
30,15,1.0,1.0339764186470504
30,15,1.5,1.0339764186470504
30,15,2.0,1.0339764186470504
30,15,2.5,1.0339764186470504
30,15,3.0,1.0339764186470504
30,17,1.0,1.0207011923308118
30,17,1.5,1.0207011923308118
30,17,2.0,1.0207011923308118
30,17,2.5,1.0207011923308118
30,17,3.0,1.0207011923308118
30,19,1.0,1.0003712626275418
30,19,1.5,1.0003712626275418
30,19,2.0,1.0003712626275418
30,19,2.5,1.0003712626275418
30,19,3.0,1.0003712626275418
30,21,1.0,0.9686607582861304
30,21,1.5,0.9686607582861304
30,21,2.0,0.9686607582861304
30,21,2.5,0.9686607582861304
30,21,3.0,0.9686607582861304
30,23,1.0,1.007158021190495
30,23,1.5,1.007158021190495
30,23,2.0,1.007158021190495
30,23,2.5,1.007158021190495
30,23,3.0,1.007158021190495
35,3,1.0,1.1077137579356062
35,3,1.5,1.1077137579356062
35,3,2.0,1.1077137579356062
35,3,2.5,1.1077137579356062
35,3,3.0,1.1077137579356062
35,5,1.0,1.1487803016037363
35,5,1.5,1.1487803016037363
35,5,2.0,1.1487803016037363
35,5,2.5,1.1487803016037363
35,5,3.0,1.1487803016037363
35,7,1.0,1.1704056353866863
35,7,1.5,1.1704056353866863
35,7,2.0,1.1704056353866863
35,7,2.5,1.1704056353866863
35,7,3.0,1.1704056353866863
35,9,1.0,1.162152108687686
35,9,1.5,1.162152108687686
35,9,2.0,1.162152108687686
35,9,2.5,1.162152108687686
35,9,3.0,1.162152108687686
35,11,1.0,1.143163057077525
35,11,1.5,1.143163057077525
35,11,2.0,1.143163057077525
35,11,2.5,1.143163057077525
35,11,3.0,1.143163057077525
35,13,1.0,1.0608285331643184
35,13,1.5,1.0608285331643184
35,13,2.0,1.0608285331643184
35,13,2.5,1.0608285331643184
35,13,3.0,1.0608285331643184
35,15,1.0,1.1251659863885655
35,15,1.5,1.1251659863885655
35,15,2.0,1.1251659863885655
35,15,2.5,1.1251659863885655
35,15,3.0,1.1251659863885655
35,17,1.0,1.1120294884268722
35,17,1.5,1.1120294884268722
35,17,2.0,1.1120294884268722
35,17,2.5,1.1120294884268722
35,17,3.0,1.1120294884268722
35,19,1.0,1.0918850459810634
35,19,1.5,1.0918850459810634
35,19,2.0,1.0918850459810634
35,19,2.5,1.0918850459810634
35,19,3.0,1.0918850459810634
35,21,1.0,1.0610573676148154
35,21,1.5,1.0610573676148154
35,21,2.0,1.0610573676148154
35,21,2.5,1.0610573676148154
35,21,3.0,1.0610573676148154
35,23,1.0,1.097288248122758
35,23,1.5,1.097288248122758
