lookback_entry,lookback_exit,atr_multiplier,use_trend_filter,return,trades,win_rate,sharpe,max_dd,profit_factor
30,12,1.0,True,12.035253421511134,3,33.33333333333333,1.0457648897824292,-9.757202064929748,4.080080572288059
10,12,1.5,True,11.952764911021859,5,20.0,0.8776260450867982,-13.837462041660476,2.607247554797411
15,15,0.5,False,11.756096863103247,8,12.5,0.7024682353190086,-9.998515367399941,2.2834405037009264
15,12,0.5,False,11.756096863103247,8,12.5,0.7024682353190086,-9.998515367399941,2.2834405037009264
10,12,1.0,False,11.605771709879754,9,22.22222222222222,0.5924874838783265,-13.026194925398105,1.8460209750593706
20,15,1.5,True,11.520943644667604,4,25.0,0.8795537617284496,-14.169805921537293,2.4762420921419617
20,12,1.5,True,11.520943644667604,4,25.0,0.8795537617284496,-14.169805921537293,2.4762420921419617
25,12,2.5,True,11.502716543967981,3,33.33333333333333,0.8922368939728472,-14.438682042019934,2.4623378601889483
25,15,2.5,True,11.502716543967981,3,33.33333333333333,0.8922368939728472,-14.438682042019934,2.4623378601889483
20,15,0.5,False,10.92521989992576,6,16.666666666666664,0.6634927048998731,-9.645025494996817,2.315269429471356
20,12,0.5,False,10.92521989992576,6,16.666666666666664,0.6634927048998731,-9.645025494996817,2.315269429471356
25,12,1.0,True,10.310402160739269,4,25.0,0.8876643490401696,-9.894673019583388,2.871610742462077
25,15,1.0,True,10.310402160739269,4,25.0,0.8876643490401696,-9.894673019583388,2.871610742462077
10,15,2.5,True,10.289009679804694,4,25.0,0.7461712233421282,-15.117942906756298,2.2331616806349777
30,12,1.5,True,10.123191333354134,3,33.33333333333333,0.8667914730694986,-11.297340792618215,2.896116427845287
30,15,1.5,True,10.123191333354134,3,33.33333333333333,0.8667914730694986,-11.297340792618215,2.896116427845287
15,15,1.5,True,9.578627228891765,5,20.0,0.7356847232308782,-15.664676655943921,2.046261736304521
15,12,1.5,True,9.578627228891765,5,20.0,0.7356847232308782,-15.664676655943921,2.046261736304521
10,12,2.0,True,9.329575152897942,5,20.0,0.7026025296585138,-15.856355342651451,2.012615983551228
30,15,0.5,False,8.932150685772413,4,25.0,0.5982071509427493,-8.55214401614398,2.5405248786019503
30,12,0.5,False,8.932150685772413,4,25.0,0.5982071509427493,-8.55214401614398,2.5405248786019503
20,15,2.0,True,8.614411618287885,4,25.0,0.668627827586699,-16.406768771442003,1.9126779660283055
20,12,2.0,True,8.614411618287885,4,25.0,0.668627827586699,-16.406768771442003,1.9126779660283055
5,15,1.5,True,8.545909002925237,5,20.0,0.5905717614903401,-12.524875584120032,1.666299205602383
25,15,1.5,False,8.24650650633028,4,25.0,0.46465407723197316,-11.470737373818608,1.8207121858003017
25,12,1.5,False,8.24650650633028,4,25.0,0.46465407723197316,-11.470737373818608,1.8207121858003017
20,15,2.0,False,8.12727075159637,5,20.0,0.3838812695235328,-16.468512463644114,1.83654763723306
20,15,2.5,True,8.104449429082669,4,25.0,0.59979096192367,-16.79925248115328,1.8441821137463072
15,15,2.5,True,8.104449429082669,4,25.0,0.59979096192367,-16.79925248115328,1.8441821137463072
20,12,2.5,True,8.02269908710401,4,25.0,0.6171557651070343,-16.86217023891873,1.83341810868345
30,12,2.0,True,7.998108987998876,3,33.33333333333333,0.6946130309135781,-13.00906429777038,2.1904733598455874
30,15,2.0,True,7.998108987998876,3,33.33333333333333,0.6946130309135781,-13.00906429777038,2.1904733598455874
20,10,0.5,True,7.936617597570457,8,25.0,0.7788459324223732,-8.537417064382158,2.0727298269002086
25,15,0.5,False,7.853442282444721,5,20.0,0.5255669389594045,-9.637383446647995,2.1497448202510743
25,12,0.5,False,7.853442282444721,5,20.0,0.5255669389594045,-9.637383446647995,2.1497448202510743
20,15,2.5,False,7.617308562391154,5,20.0,0.3541641524376683,-16.862473209675244,1.773305804548203
15,10,0.5,True,7.2909620462704146,9,22.22222222222222,0.7181383232326659,-9.084528190550634,1.9282293291896788
5,12,1.5,True,6.949216704704413,6,16.666666666666664,0.4914674031818596,-13.832089815467064,1.4834623616008078
10,12,2.5,True,6.744288121896716,5,20.0,0.5193572029704742,-17.84607745553439,1.6666020162115578
30,15,2.5,True,6.299067157040191,3,33.33333333333333,0.5537018001370708,-14.377618247995095,1.8325639165119194
30,12,2.5,True,6.299067157040191,3,33.33333333333333,0.5537018001370708,-14.377618247995095,1.8325639165119194
10,10,0.5,True,6.245986853361829,11,18.181818181818183,0.5944595839168348,-9.970012027031494,1.7278070937470826
10,3,2.0,False,6.218684033856226,15,53.333333333333336,0.32121620723815564,-11.919882451095209,1.425737649859675
5,15,0.5,False,6.078059353928584,16,6.25,0.370681919836342,-11.889467542682253,1.4304615998353594
30,12,1.0,False,5.945150974816733,4,25.0,0.38266489719586755,-9.867534819576917,1.7674028854638801
30,15,1.0,False,5.945150974816733,4,25.0,0.38266489719586755,-9.867534819576917,1.7674028854638801
10,15,0.5,False,5.867815668124149,12,8.333333333333332,0.36104892859510757,-10.839503104137304,1.5584926927900853
5,15,1.0,True,5.862590227796281,10,10.0,0.4437078011528908,-15.915014997153332,1.415186146787846
5,12,1.0,True,5.862590227796281,10,10.0,0.4437078011528908,-15.915014997153332,1.415186146787846
15,15,2.0,True,5.775951144655083,5,20.0,0.4556846189315897,-18.591341510641545,1.5712555583952001
15,12,2.0,True,5.775951144655083,5,20.0,0.4556846189315897,-18.591341510641545,1.5712555583952001
5,12,0.5,False,5.7677588696367454,17,5.88235294117647,0.35181621824311476,-12.19976802697409,1.3980700055354796
30,10,0.5,True,5.6871472043314135,6,33.33333333333333,0.6638033987478108,-6.318032928124683,2.040548951600954
10,12,0.5,False,5.636722743265618,13,7.6923076923076925,0.3467367123016027,-11.132292108073393,1.5177892386286802
15,15,1.0,False,5.491486145618946,8,12.5,0.3189715807324186,-12.943468997217577,1.4414418604610035
15,12,1.0,False,5.491486145618946,8,12.5,0.3189715807324186,-12.943468997217577,1.4414418604610035
5,15,1.5,False,5.455487049510521,8,12.5,0.2556109805338527,-12.598250391776,1.378503181310101
10,3,2.5,False,5.234513531950925,15,53.333333333333336,0.27204095849734594,-12.29402255189168,1.346212471436661
5,15,2.0,True,5.201599635607108,5,20.0,0.3660855597962942,-14.191540361212617,1.3351277075400851
25,12,2.0,False,4.924191137540511,4,25.0,0.257775881547186,-13.339346102421057,1.4585905579822698
25,15,2.0,False,4.924191137540511,4,25.0,0.257775881547186,-13.339346102421057,1.4585905579822698
20,15,1.0,False,4.752400559852649,6,16.666666666666664,0.28427280599507615,-11.67437411075708,1.509955893051162
20,12,1.0,False,4.752400559852649,6,16.666666666666664,0.28427280599507615,-11.67437411075708,1.509955893051162
5,12,1.0,False,4.6387864889176855,13,15.384615384615385,0.24436202556565947,-16.719236938858383,1.260455610863056
5,10,0.5,True,4.5970500077197,17,11.76470588235294,0.4298108290305096,-11.832960802105708,1.2925929672405705
25,10,0.5,True,4.490593551655656,7,28.57142857142857,0.5167198082225125,-6.385762568504649,1.6886104329887572
25,12,1.0,False,4.44377696515021,5,20.0,0.2868145867346293,-11.25953993705009,1.494890393907645
25,15,1.0,False,4.44377696515021,5,20.0,0.2868145867346293,-11.25953993705009,1.494890393907645
25,10,2.0,True,4.402835328166202,6,33.33333333333333,0.4191845086086639,-10.521359477476233,1.4729940743596797
25,10,1.5,True,4.310403065652717,6,33.33333333333333,0.4135610790662309,-10.923488482227938,1.4524903908342115
15,12,2.5,True,4.300590257758303,5,20.0,0.3387077658272555,-19.726827878669408,1.440085929269772
10,15,1.5,False,4.2772232867261115,8,12.5,0.2033295378710185,-12.598250391776,1.4063097694229099
5,12,2.0,True,3.4315800265351206,6,16.666666666666664,0.2463610694462413,-15.65756281497086,1.2151282900492482
25,12,2.5,False,3.3644419021378416,4,25.0,0.17869077862123084,-14.54300995272173,1.320457336784042
25,15,2.5,False,3.3644419021378416,4,25.0,0.17869077862123084,-14.54300995272173,1.320457336784042
30,12,1.5,False,3.0780026936634024,4,25.0,0.18949212078584465,-11.404367611506682,1.3550420955616325
30,15,1.5,False,3.0780026936634024,4,25.0,0.18949212078584465,-11.404367611506682,1.3550420955616325
25,7,1.5,True,2.8782174320343437,7,42.857142857142854,0.29201361839824524,-9.965877603840667,1.2961860388492645
5,10,2.0,False,2.677609502989071,13,30.76923076923077,0.12614011485923812,-13.790726547666065,1.1449876740690386
15,10,0.5,False,2.6160119151101937,12,16.666666666666664,0.18570581835211059,-9.058611927746952,1.2855782351095584
30,10,1.0,True,2.420475799046835,6,33.33333333333333,0.2812494424988644,-8.716620019702425,1.3383272120711818
5,15,2.5,True,2.364928350313876,5,20.0,0.17168800321943187,-15.216033387565398,1.2512149232594765
20,10,1.0,True,2.0568778314685368,8,25.0,0.20198514065194542,-13.041988184015773,1.236241278535185
25,10,2.5,True,1.9548988971744075,6,33.33333333333333,0.1901751369356694,-12.619367862422958,1.2510811445829222
20,10,0.5,False,1.8075956534065518,10,20.0,0.13107924876650676,-9.645025494996817,1.2064766173736627
10,10,1.0,True,1.7907322046371337,10,20.0,0.1738570744161932,-13.268758736422793,1.2090730081750236
25,5,1.5,True,1.4527007587509433,8,50.0,0.15928073991012884,-8.694649986384285,1.1925376575744426
20,10,2.0,True,1.4499052402561028,7,28.57142857142857,0.13430454986568782,-12.76282011783606,1.1803877408628354
25,3,1.5,True,1.411037401366848,8,50.0,0.1577228919637541,-8.697911369772825,1.1882998652609058
