lookback,exit_lookback,atr_stop_mult,score
23,4,3.0,5.227578081054707
23,4,4.0,5.227578081054707
23,4,5.0,5.227578081054707
23,5,1.0,5.537727675781279
23,5,2.0,5.537727675781279
23,5,3.0,5.537727675781279
23,5,4.0,5.537727675781279
23,5,5.0,5.537727675781279
23,6,1.0,5.385800122070341
23,6,2.0,5.385800122070341
23,6,3.0,5.385800122070341
23,6,4.0,5.385800122070341
23,6,5.0,5.385800122070341
23,7,1.0,5.988227558593771
23,7,2.0,5.988227558593771
23,7,3.0,5.988227558593771
23,7,4.0,5.988227558593771
23,7,5.0,5.988227558593771
23,8,1.0,4.977023632812524
23,8,2.0,4.977023632812524
23,8,3.0,4.977023632812524
23,8,4.0,4.977023632812524
23,8,5.0,4.977023632812524
23,9,1.0,5.1526225878906375
23,9,2.0,5.1526225878906375
23,9,3.0,5.1526225878906375
23,9,4.0,5.1526225878906375
23,9,5.0,5.1526225878906375
25,2,1.0,7.31679397949214
25,2,2.0,7.31679397949214
25,2,3.0,7.31679397949214
25,2,4.0,7.31679397949214
25,2,5.0,7.31679397949214
25,3,1.0,5.990747421874967
25,3,2.0,5.990747421874967
25,3,3.0,5.990747421874967
25,3,4.0,5.990747421874967
25,3,5.0,5.990747421874967
25,4,1.0,5.2636291894531135
25,4,2.0,5.2636291894531135
25,4,3.0,5.2636291894531135
25,4,4.0,5.2636291894531135
25,4,5.0,5.2636291894531135
25,5,1.0,5.13371511230469
25,5,2.0,5.13371511230469
25,5,3.0,5.13371511230469
25,5,4.0,5.13371511230469
25,5,5.0,5.13371511230469
25,6,1.0,4.981787558593751
25,6,2.0,4.981787558593751
25,6,3.0,4.981787558593751
25,6,4.0,4.981787558593751
25,6,5.0,4.981787558593751
25,7,1.0,5.584214995117182
25,7,2.0,5.584214995117182
25,7,3.0,5.584214995117182
25,7,4.0,5.584214995117182
25,7,5.0,5.584214995117182
25,8,1.0,4.5730110693359345
25,8,2.0,4.5730110693359345
25,8,3.0,4.5730110693359345
25,8,4.0,4.5730110693359345
25,8,5.0,4.5730110693359345
25,9,1.0,4.748610024414047
25,9,2.0,4.748610024414047
25,9,3.0,4.748610024414047
25,9,4.0,4.748610024414047
25,9,5.0,4.748610024414047
27,2,1.0,8.885745327148435
27,2,2.0,8.885745327148435
27,2,3.0,8.885745327148435
27,2,4.0,8.885745327148435
27,2,5.0,8.885745327148435
27,3,1.0,7.55969876953126
27,3,2.0,7.55969876953126
27,3,3.0,7.55969876953126
27,3,4.0,7.55969876953126
27,3,5.0,7.55969876953126
27,4,1.0,7.002264946289087
27,4,2.0,7.002264946289087
27,4,3.0,7.002264946289087
27,4,4.0,7.002264946289087
27,4,5.0,7.002264946289087
27,5,1.0,6.881798950195335
27,5,2.0,6.881798950195335
27,5,3.0,6.881798950195335
27,5,4.0,6.881798950195335
27,5,5.0,6.881798950195335
27,6,1.0,6.729871396484395
27,6,2.0,6.729871396484395
27,6,3.0,6.729871396484395
27,6,4.0,6.729871396484395
27,6,5.0,6.729871396484395
27,7,1.0,7.332298833007826
27,7,2.0,7.332298833007826
27,7,3.0,7.332298833007826
27,7,4.0,7.332298833007826
27,7,5.0,7.332298833007826
27,8,1.0,6.32109490722658
