lookback,exit_lookback,atr_stop_mult,score
45,18,2.0,3.7296240452577583
45,18,2.5,3.7296240452577583
45,19,1.0,2.80893752869067
45,19,1.5,2.80893752869067
45,19,2.0,2.80893752869067
45,19,2.5,2.80893752869067
50,3,1.0,3.7024487432420026
50,3,1.5,3.7024487432420026
50,3,2.0,3.7024487432420026
50,3,2.5,3.7024487432420026
50,4,1.0,11.038273770314907
50,4,1.5,11.038273770314907
50,4,2.0,11.038273770314907
50,4,2.5,11.038273770314907
50,5,1.0,6.068655171230842
50,5,1.5,6.068655171230842
50,5,2.0,6.068655171230842
50,5,2.5,6.068655171230842
50,6,1.0,6.473838123769908
50,6,1.5,6.473838123769908
50,6,2.0,6.473838123769908
50,6,2.5,6.473838123769908
50,7,1.0,4.021282326728633
50,7,1.5,4.021282326728633
50,7,2.0,4.021282326728633
50,7,2.5,4.021282326728633
50,8,1.0,3.6673603550961245
50,8,1.5,3.6673603550961245
50,8,2.0,3.6673603550961245
50,8,2.5,3.6673603550961245
50,9,1.0,3.7217845897660506
50,9,1.5,3.7217845897660506
50,9,2.0,3.7217845897660506
50,9,2.5,3.7217845897660506
50,10,1.0,5.03943796317924
50,10,1.5,5.03943796317924
50,10,2.0,5.03943796317924
50,10,2.5,5.03943796317924
50,11,1.0,5.275238362639713
50,11,1.5,5.275238362639713
50,11,2.0,5.275238362639713
50,11,2.5,5.275238362639713
50,12,1.0,5.916695054467863
50,12,1.5,5.916695054467863
50,12,2.0,5.916695054467863
50,12,2.5,5.916695054467863
50,13,1.0,6.9352157583810605
50,13,1.5,6.9352157583810605
50,13,2.0,6.9352157583810605
50,13,2.5,6.9352157583810605
50,14,1.0,7.332875716850475
50,14,1.5,7.332875716850475
50,14,2.0,7.332875716850475
50,14,2.5,7.332875716850475
50,15,1.0,6.037520708229478
50,15,1.5,6.037520708229478
50,15,2.0,6.037520708229478
50,15,2.5,6.037520708229478
50,16,1.0,9.11796118367583
50,16,1.5,9.11796118367583
50,16,2.0,9.11796118367583
50,16,2.5,9.11796118367583
50,17,1.0,4.826897203674402
50,17,1.5,4.826897203674402
50,17,2.0,4.826897203674402
50,17,2.5,4.826897203674402
50,18,1.0,4.4989245628090675
50,18,1.5,4.4989245628090675
50,18,2.0,4.4989245628090675
50,18,2.5,4.4989245628090675
50,19,1.0,3.252618466109268
50,19,1.5,3.252618466109268
50,19,2.0,3.252618466109268
50,19,2.5,3.252618466109268
55,3,1.0,2.174625476001622
55,3,1.5,2.174625476001622
55,3,2.0,2.174625476001622
55,3,2.5,2.174625476001622
55,4,1.0,2.0933164116131158
55,4,1.5,2.0933164116131158
55,4,2.0,2.0933164116131158
55,4,2.5,2.0933164116131158
55,5,1.0,1.840032390769858
55,5,1.5,1.840032390769858
55,5,2.0,1.840032390769858
55,5,2.5,1.840032390769858
55,6,1.0,1.6901489728394838
55,6,1.5,1.6901489728394838
55,6,2.0,1.6901489728394838
55,6,2.5,1.6901489728394838
55,7,1.0,1.6339547181518026
55,7,1.5,1.6339547181518026
55,7,2.0,1.6339547181518026
55,7,2.5,1.6339547181518026
55,8,1.0,1.5833592803212662
55,8,1.5,1.5833592803212662
55,8,2.0,1.5833592803212662
55,8,2.5,1.5833592803212662
55,9,1.0,1.4668137138029402
55,9,1.5,1.4668137138029402
55,9,2.0,1.4668137138029402
55,9,2.5,1.4668137138029402
55,10,1.0,1.7323367600599615
55,10,1.5,1.7323367600599615
55,10,2.0,1.7323367600599615
55,10,2.5,1.7323367600599615
55,11,1.0,1.7318250190155555
55,11,1.5,1.7318250190155555
55,11,2.0,1.7318250190155555
55,11,2.5,1.7318250190155555
55,12,1.0,1.8034302665133204
55,12,1.5,1.8034302665133204
55,12,2.0,1.8034302665133204
55,12,2.5,1.8034302665133204
55,13,1.0,1.8653650890762175
55,13,1.5,1.8653650890762175
55,13,2.0,1.8653650890762175
55,13,2.5,1.8653650890762175
55,14,1.0,1.8941241780268374
55,14,1.5,1.8941241780268374
55,14,2.0,1.8941241780268374
55,14,2.5,1.8941241780268374
55,15,1.0,1.8261623875271187
55,15,1.5,1.8261623875271187
55,15,2.0,1.8261623875271187
55,15,2.5,1.8261623875271187
55,16,1.0,1.773368145772336
55,16,1.5,1.773368145772336
55,16,2.0,1.773368145772336
55,16,2.5,1.773368145772336
55,17,1.0,1.71938144227838
55,17,1.5,1.71938144227838
55,17,2.0,1.71938144227838
55,17,2.5,1.71938144227838
55,18,1.0,1.6228023870189172
55,18,1.5,1.6228023870189172
55,18,2.0,1.6228023870189172
55,18,2.5,1.6228023870189172
55,19,1.0,1.7712443586760667
55,19,1.5,1.7712443586760667
55,19,2.0,1.7712443586760667
55,19,2.5,1.7712443586760667
60,3,1.0,2.4890937951989973
60,3,1.5,2.4890937951989973
60,3,2.0,2.4890937951989973
60,3,2.5,2.4890937951989973
60,4,1.0,2.843155963096076
60,4,1.5,2.843155963096076
60,4,2.0,2.843155963096076
60,4,2.5,2.843155963096076
60,5,1.0,3.0018401616280896
60,5,1.5,3.0018401616280896
60,5,2.0,3.0018401616280896
60,5,2.5,3.0018401616280896
60,6,1.0,2.7099587534541514
60,6,1.5,2.7099587534541514
60,6,2.0,2.7099587534541514
60,6,2.5,2.7099587534541514
60,7,1.0,2.307449066853558
60,7,1.5,2.307449066853558
60,7,2.0,2.307449066853558
60,7,2.5,2.307449066853558
60,8,1.0,2.22521003000056
60,8,1.5,2.22521003000056
60,8,2.0,2.22521003000056
60,8,2.5,2.22521003000056
60,9,1.0,2.04427127682378
60,9,1.5,2.04427127682378
60,9,2.0,2.04427127682378
60,9,2.5,2.04427127682378
60,10,1.0,2.495371324392392
60,10,1.5,2.495371324392392
60,10,2.0,2.495371324392392
60,10,2.5,2.495371324392392
60,11,1.0,2.480285982695874
60,11,1.5,2.480285982695874
60,11,2.0,2.480285982695874
60,11,2.5,2.480285982695874
60,12,1.0,2.612429288335171
60,12,1.5,2.612429288335171
60,12,2.0,2.612429288335171
60,12,2.5,2.612429288335171
60,13,1.0,2.740276192927373
60,13,1.5,2.740276192927373
60,13,2.0,2.740276192927373
60,13,2.5,2.740276192927373
60,14,1.0,2.7843866126689174
60,14,1.5,2.7843866126689174
60,14,2.0,2.7843866126689174
60,14,2.5,2.7843866126689174
60,15,1.0,2.65088902407434
60,15,1.5,2.65088902407434
60,15,2.0,2.65088902407434
60,15,2.5,2.65088902407434
60,16,1.0,2.552780797615731
60,16,1.5,2.552780797615731
60,16,2.0,2.552780797615731
60,16,2.5,2.552780797615731
60,17,1.0,2.4515323928186192
60,17,1.5,2.4515323928186192
60,17,2.0,2.4515323928186192
60,17,2.5,2.4515323928186192
60,18,1.0,2.2924506229922605
60,18,1.5,2.2924506229922605
60,18,2.0,2.2924506229922605
60,18,2.5,2.2924506229922605
60,19,1.0,2.537067849732763
60,19,1.5,2.537067849732763
60,19,2.0,2.537067849732763
60,19,2.5,2.537067849732763
65,3,1.0,2.494370761842467
65,3,1.5,2.494370761842467
65,3,2.0,2.494370761842467
65,3,2.5,2.494370761842467
65,4,1.0,2.5754498679973565
