lookback,exit_lookback,atr_stop_mult,score
30,5,2.0,1.1646431297563755
30,5,2.5,1.1646431297563755
30,5,3.0,1.1646431297563755
30,7,1.0,1.2778988115703847
30,7,1.5,1.2778988115703847
30,7,2.0,1.2778988115703847
30,7,2.5,1.2778988115703847
30,7,3.0,1.2778988115703847
30,9,1.0,1.2237879739480555
30,9,1.5,1.2237879739480555
30,9,2.0,1.2237879739480555
30,9,2.5,1.2237879739480555
30,9,3.0,1.2237879739480555
30,11,1.0,1.2174762098142817
30,11,1.5,1.2174762098142817
30,11,2.0,1.2174762098142817
30,11,2.5,1.2174762098142817
30,11,3.0,1.2174762098142817
30,13,1.0,1.22290219808855
30,13,1.5,1.22290219808855
30,13,2.0,1.22290219808855
30,13,2.5,1.22290219808855
30,13,3.0,1.22290219808855
30,15,1.0,-1.0
30,15,1.5,-1.0
30,15,2.0,-1.0
30,15,2.5,-1.0
30,15,3.0,-1.0
30,17,1.0,-1.0
30,17,1.5,-1.0
30,17,2.0,-1.0
30,17,2.5,-1.0
30,17,3.0,-1.0
30,19,1.0,-1.0
30,19,1.5,-1.0
30,19,2.0,-1.0
30,19,2.5,-1.0
30,19,3.0,-1.0
30,21,1.0,-1.0
30,21,1.5,-1.0
30,21,2.0,-1.0
30,21,2.5,-1.0
30,21,3.0,-1.0
30,23,1.0,-1.0
30,23,1.5,-1.0
30,23,2.0,-1.0
30,23,2.5,-1.0
30,23,3.0,-1.0
30,25,1.0,-1.0
30,25,1.5,-1.0
30,25,2.0,-1.0
30,25,2.5,-1.0
30,25,3.0,-1.0
35,3,1.0,1.2834847694429912
35,3,1.5,1.2834847694429912
35,3,2.0,1.2834847694429912
35,3,2.5,1.2834847694429912
35,3,3.0,1.2834847694429912
35,5,1.0,1.2398774157620935
35,5,1.5,1.2398774157620935
35,5,2.0,1.2398774157620935
35,5,2.5,1.2398774157620935
35,5,3.0,1.2398774157620935
35,7,1.0,1.3735555212867117
35,7,1.5,1.3735555212867117
35,7,2.0,1.3735555212867117
35,7,2.5,1.3735555212867117
35,7,3.0,1.3735555212867117
35,9,1.0,1.3154391639167131
35,9,1.5,1.3154391639167131
35,9,2.0,1.3154391639167131
35,9,2.5,1.3154391639167131
35,9,3.0,1.3154391639167131
35,11,1.0,1.3074802848335807
35,11,1.5,1.3074802848335807
35,11,2.0,1.3074802848335807
35,11,2.5,1.3074802848335807
35,11,3.0,1.3074802848335807
35,13,1.0,1.3133709582569406
35,13,1.5,1.3133709582569406
